"nom","type","courte_description","source","condition","avantage","normal","url"
"Adaptation aquatique","[Racial]","Le personnage est plus priche de son parent elfe aquatique et a developpé la capacité de respirer et de se mouvoir aisément dans l'eau","Races de Faerun","[[Demi-elfe aquatique]]","Le personnage est capable de respirer sous l'eau aussi bien qu'à l'air libre.
Sa vitesse de nage passe à 6m.","","https://gemmaline.com/dons/dons-adaptation-aquatique-707.htm"
"Adaptation aux ténèbres","[Environnemental]","Vivre dans des lieux où la nuit peut durer plus d'une journée, le personnage s'est acclimaté aux ténèbres","Dragon Magazine #333","[[Région froid’en guise de milieu naturel]]","Le personnage peut voir deux fois plus loin dans des contions d'illumination faible. S'il possède déjà la vision nocturne, il peut voir trois fois plus loin à la place.
Ce don n'affecte pas la vision dans le noir.","","https://gemmaline.com/dons/dons-adaptation-aux-tenebres-1534.htm"
"Adaptation caustique","[Racial]","Les ancêtres du personnages chassent et sont depuis longtemps chassés dans les profondeurs. La sélection naturelle lui a conféré un sang désagréablement acide.","Outre-Terre","[[Kuo-Toa]]","Une créature qui réussit une attaque de morsure contre le personnage subit 1d4 points de dégâts d'acide. Les créatures immunisées contre le poison ne sont pas affectées.
","","https://gemmaline.com/dons/dons-adaptation-caustique-825.htm"
"Adaptation diurne","[Racial]","Le personnage s'est habitué à la douloureuse lumière du soleil du monde de la surface.","Manuel des Joueurs de FaerûnRoyaumes Oubliés","[[Drow]]","Contrairement aux autres membres de sa race, le personnage n'est plus ébloui ou aveuglé lorsqu'il est exposé à une lumière vive ou au soleil. Les effets affectant toutes les créatures sans distinction de races, comme rayon du soleil ou explosion de lumière, l'affectent normalement.","","https://gemmaline.com/dons/dons-adaptation-diurne-2159.htm"
"Adaptation environnementale","[Racial]","Le personnage peut exister confortablement dans des environnements chauds ou froids","Codex Human","[[Humain]]","Le personnage peut évoluer par des températures allant de –10° à +60° sans devoir effectuer le moindre jet de Vigueur. Son équipement n'est pas protégé.","","https://gemmaline.com/dons/dons-adaptation-environnementale-2308.htm"
"Adaptation tropicale","[Régional]","Le personnage est acclimaté aux jungles accablées par les maladies que l'on trouve dans le sud-ouest de Faerûn.","Races de Faerun","[[Nain sauvage[Chult]]]","Le personnage bénéficie d'un bonus de +2 sur tous les tests de Survie et sur tous les jets de Vigueur contre la maladie.","","https://gemmaline.com/dons/dons-adaptation-tropicale-768.htm"
"Adepte du changement","[Racial]","Le personnage a dévoué du temps à maîtrisé ses capacités de changeur de forme.","Races of Ansalon","[[Irda], [Int 17], [Niveau global de 7]]","Le personnage ajoute animal, créature magique, plante et vase à la liste des types de créatures dont il peut prendre la forme avec son pouvoir racial de change-forme. De plus, il gagne un bonus de +2 à ses jets de sauvegarde contre les sorts et effets de Transmutation et il peut affecter le niveau efectif de lanceur des sorts de tout sort ou effet de Transmutation qui l'affecte de 1 (-1 ou +1)","Un irda ne peut prendre que la forme d'un humanoïde, humanoïde monstrueux ou géant.","https://gemmaline.com/dons/dons-adepte-du-changement-1866.htm"
"Adepte du dracocarnum","[Général]","Le personnage utilise le pouvoir du dracocarnum malgré son absence d'héritage draconique","Codex Heroïque","[[Capacité de modeler au moins un amalgâme]]","Le personnage est capable de modeler les amalgâmes de Dracocarnum présent dans sa liste de classe. De plus, le personnage gagne un bonus de +1 à son niveau de modeleur d'âme pour ces amalgâmes.","Seul un dragon ou un personnage ayant le sous-type sang draconique peut modeler les amalgâmes de dracocarnum","https://gemmaline.com/dons/dons-adepte-du-dracocarnum-1059.htm"
"Adepte halruéen","[Régional]","Le personnage a étudié la vieille magie de coopération d'Halruaa et est versé dans les rites et mystères de cette tradition.","Le Sud Etincellant","[[Humain[Halruaa]]]","Le personnage est capable de participer à la magie des cercles d'Halruaa sous l'égide d'un ancien halruéen. De plus, il bénéficie d'un bonus de +3 aux tests d'Art de la magie.","Un personnage ne peut normalement participer à la magie de cercle que s'il a le don ou l'aptitude de classe approprié.","https://gemmaline.com/dons/dons-adepte-halrueen-846.htm"
"Adroit","[Général, Compétence]","Le personnage est doué pour fabriqué des choses.","Experts 3.5","[[]]","Le personnage gagne un bonus de +1 à tous ses tests d'Artisanat, y compris les tests innés.","","https://gemmaline.com/dons/dons-adroit-2337.htm"
"Adversaire des titans","[Racial, Guerrier]","Le personnage a reçu un entraînement spécial pour affronter les créatures plus grandes que lui et éviter leurs attaques.","Races de la Pierre","[[Esquive], [Trait racial de bonus d’esquive à la CA contre les géants]]","Lorsque le personnage désigne comme cible de son don Esquive une créature plus grande que lui d'au moins une catégorie de taille, il applique contre elle le bonus d'esquive contre les géants qu'il tient de son trait racial plutôt que le +1 habituel du don Esquive.","","https://gemmaline.com/dons/dons-adversaire-des-titans-625.htm"
"Affaiblissement funeste","[Métamagie]","Les créatures vivantes blessées par le sort du personnage sont également affaiblies.","Libris Mortis","[[]]","Le personnage peut modifier un sort infligeant des dégâts afin que les créatures blessées par celui-ci subissent également un malus de -4 en Force pendant 1 minute. Les malus de Force découlant de différents sorts affectés par ce don ne se cumulent pas. Un sort d’affaiblissement funeste mobilise un emplacement de sort d’un niveau de plus que son niveau réel.","","https://gemmaline.com/dons/dons-affaiblissement-funeste-126.htm"
"Affermissement psionique","[Psionique]","Le personnage peut fortifier ses manifestations par le biais d’une focalisation plus dense.","Grand Manuel des Psioniques","[[]]","En sacrifiant sa focalisation psionique au cours de la manifestation d’une faculté, le personnage peut obtenir un bonus de +1 au DD de sauvegarde associé à cette faculté.","","https://gemmaline.com/dons/dons-affermissement-psionique-473.htm"
"Affermissement psionique épique","[Psionique, Épique]","","Complete Psionic","[[Affermissement psionique supérieur], [Affermissement psionique], [Faculté de manifester des facultés de 9e niveau]]","Quand le personnage recourt au don Affermissement psionique, il ajoute +3 au DD de sauvegarde associé à la faculté qu’il manifeste, au lieu de +2.","","https://gemmaline.com/dons/dons-affermissement-psionique-epique-2439.htm"
"Affermissement psionique supérieur","[Psionique]","Le personnage recourt à la méditation pour intensifier ses facultés.","Grand Manuel des Psioniques","[[Affermissement psionique]]","Quand le personnage recourt au don Affermissement psionique, il ajoute +2 au DD de sauvegarde associé à la faculté qu’il manifeste, au lieu de +1.","","https://gemmaline.com/dons/dons-affermissement-psionique-superieur-474.htm"
"Affinité aérienne","[Général, Air]","Le personnage est en phase avec l'air qui l'entoure, le rendant plus dangereux au combat.","Codex Heroïque","[[Sag 13], [Dex 13], [Perception aérienne]]","Le personnage bénéficie d'un bonus de +1 sur les jets de dégâts des armes si lui et son adversaire sont dans les airs (vol, lévitation, absence de gravité...)","","https://gemmaline.com/dons/dons-affinite-aerienne-1925.htm"
"Affinité avec le prime idiome","[Général, Compétence, Verbe]","Contrairement à la plupart de ses congénères, le personnage a découvert le pouvoir secret du prime idiome.","Book of WordsRecueil de Magie","[[]]","La compétence Prime idiome est considérée comme une compétence de classe pour le personnage, quelle que soit la classe sélectionnée. S'il avait déjà dépensé des points de compétence en Prime idiome avant de prendre ce don, il augmente son degré de maîtrise comme si Prime idiome avait toujours été compétence de classe pour lui (c'est-à-dire que son degré de maîtrise devient égal au nombre de points de compétence alloués en Prime idiome depuis la création du personnage).
","","https://gemmaline.com/dons/dons-affinite-avec-le-prime-idiome-1818.htm"
"Affinité du crépuscule","[Racial]","la décharge fantastique du personnage est efficace contre les spectres","Wizards of the Coast Web Enhancements","[[Elfe des étoiles], [Aptitude de classe de Décharge fantastique]]","Entre le crépuscule et l'aube, les invocations ainsi que la décharge fantastique du personnage affectent normalement les morts-vivants intangibles. Si le personnage utilise l'Invocation façnnée Coup hideux, l'attaque de corps à corps effectuée dans le cadre de cette invocation est alors capable d'affecter les morts-vivants intangibles","Invocations et décharges fantastiques n'ont que 50% d'affecter les créatures intangibles.","https://gemmaline.com/dons/dons-affinite-du-crepuscule-2087.htm"
"Affinité magique","[Général, Compétence]","Le personnage est doué pour la magie.","Manuel du Joueur","[[]]","Le personnage obtient un bonus de +2 sur tous ses tests de Art de la magie  et Utilisation d’objets magiques.
		","","https://gemmaline.com/dons/dons-affinite-magique-1.htm"
"Affinité psionique","[Général, Compétence]","Le personnage présente un talent pour tout ce qui touche au psionique.","Grand Manuel des Psioniques","[[]]","Le personnage obtient un bonus de +2 sur tous ses tests de Art psi  et Utilisation d’objets psioniques.
		","","https://gemmaline.com/dons/dons-affinite-psionique-475.htm"
"Affinité terrestre","[Général, Terre]","Le personnage est en phase avec le sol qu'il foule, le rendant plus dangereux en combat.","Races de la Pierre","[[Sag 13], [Con 13], [Perception terrestre]]","Le personnage bénéficie d'un bonus de +1 sur les jets de dégâts des armes si lui et son adversaire sont en contact avec le sol.","","https://gemmaline.com/dons/dons-affinite-terrestre-626.htm"
"Afflux de malveillance","[Souillure]","Le personnage peut canaliser sa souillure pour augmenter sa puissance.","Heroes of Horror","[[Souillure légère]]","Une fois par jour, le personnage peut ajouter un bonus à un seul jet d'attaque de sauvegarde ou test de compétence, de caractéristique ou de niveau. Il doit faire son choix avant de lancer les dés.
Le montant du bonus dépend suivant sa souillure. Si elle est légère, le bonus est de +3. Si elle est modérée, il est de +6. Si elle est sévère, il est de +9.","","https://gemmaline.com/dons/dons-afflux-de-malveillance-1550.htm"
"Afflux de mort","[Souillure]","La souillure du personnage est capable d'ennemi ses ennemis","Codex Maléfique","[[Souillure sévère], [Afflux de malveillance], [Coup débilitant, Décharge débilitante ou Sort débilitant]]","Lorsque le personnage a affecté durant le round une créature par l'effet de son don Coup débilitant ou Sort débilitant est que celle-ci est tuée durant le même round, le personnage peut choisir que celle-ci s'anime en zombi comme par un effet d'Animation des morts, si du moins elle en vérifie les conditions et si celui-ci possède moins de DV que le personnage.
Les DV de ce mort-vivant ne compte pas dans les limites des DV que le personnage peut contrôler par Animation des morts. Il peut contrôler par ce don un nombre de DV de morts-vivants égal à son score de souillure.","","https://gemmaline.com/dons/dons-afflux-de-mort-2202.htm"
"Affrontement monté","[Général, Guerrier]","Le personnage est particulièrement efficace sur une monture","Dragon Magazine #346","[[Degré de maîtrise de 11 en Équitation], [Bonus de base à l’attaque de +8], [Combat monté]]","Le personnage reçoit un bonus de +1 aux jets d'attaque et de dégâts lorsqu'il est monté.","","https://gemmaline.com/dons/dons-affrontement-monte-2498.htm"
"Agilité du singe","[Général]","Le personnage sait évoluer tel un singe parmi les branchages.","Codex Aventureux","[[Degré de maîtrise de 4 en Saut], [Degré de maîtrise de 4 en Escalade]]","Le personnage peut évoluer en zone boisée à sa vitesse de déplacement au sol de base, sans tenir compte des ralentissements normalement engendrés par la nature du terrain. Pour pouvoir utiliser ce don, le personnage doit se déplacer au moins 6 mètres au-dessus du sol et dans une forêt intermédiaire ou dense.","","https://gemmaline.com/dons/dons-agilite-du-singe-345.htm"
"Agilité funeste","[Général, Nécromant]","Les morts-vivants que le personnage anime ou crée sont plus rapides et agiles que la normale.","Libris Mortis","[[Façonneur de cadavres]]","Les morts-vivants que le personnage crée ou anime à l’aide d’un sort de Nécromancie bénéficient d’un bonus de +4 aux tests d’initiative et d’un bonus de +3 mètres en vitesse de déplacement de base au sol.","","https://gemmaline.com/dons/dons-agilite-funeste-127.htm"
"Aide améliorée","[Général]","Le personnage excelle à aider ses alliés.","Dragon Magazine #339","[[]]","Lorsque le personnage utilise l'action d'aider quelqu'un, il confère un bonus supplémentaire de +1 aux tests de compétences, d'attaque ou à la CA (résultant dans la plus part des cas à un bonus total de +3).","","https://gemmaline.com/dons/dons-aide-amelioree-2495.htm"
"Aigle","[Esprit totémique]","L'Aigle plane au-dessus de la terre, de loin il observe les événements du monde d'en bas. Les enfants de l'Aigle sont tout aussi perspicaces, mais distants. Ceux qui sont touchés par l'Aigle chassent leur proie dans la solitude, frappant fort et vite.","Fury&Frenzy","[[]]","Lorqsqu'il canalise l'Aigle, le personnage gagne un bonus de circonstance de +1 aux jets d'attaques avec des armes à distance.
De plus, le personnage reçoit un bonus de circonstance de +2 aux tests de Détection.
Tabou. Voler la proie. Un enfant de l'Aigle ne peut aider un allié au combat, à moins que celui-ci ne le demande.","","https://gemmaline.com/dons/dons-aigle-2515.htm"
"Ailes d’outreplan","[Racial]","Les ailes conférées par les ancêtres du personnage ont émergé et révèlent la gloire de sa lignée surnaturelle.","Races de Faerun","[[Aasimar, Tieffelin], [Bonus de base de Volonté de +2], [Bonus de base de Vigueur de +2], [Bonus de base de Réflexes de +2], [Lignée céleste ou Lignée fiélon]]","Le personnage est doté d'ailes (à plumes s'il s'agit d'un aasimar, de chauve-souris dans le cas d'un tieffelin) qui lui permettent de voler à sa vitesse de déplacement au sol (manœuvrabilité moyenne). Une charge intermédiaire ou lourde réduit aussi bien la vitesse de déplacement au sol du personnage que sa vitesse en vol.","","https://gemmaline.com/dons/dons-ailes-d-outreplan-797.htm"
"Ailes de l’aigle","[Forme animale]","Il peut pousser des ailes au personnage, capables de le porter dans les airs avec la grâce d’un aigle.","Codex Divin","[[Aptitude de classe de Forme animale]]","Le personnage peut dépenser une utilisation quotidienne de son pouvoir de forme animale pour obtenir des ailes pendant une heure. Il vole à une vitesse de 18 mètres et avec une manœuvrabilité moyenne.","","https://gemmaline.com/dons/dons-ailes-de-l-aigle-289.htm"
"Ailes vestiges","[Héritage démoniaque]","Des vestiges d'ailes apparaissent sur les épaules du personnage","Fiendish Codex I :   Hordes of the Abyss","[[]]","Bien qu'elles ne permettent pas de voler, les ailes confèrent un bonus de +3 par don d'Héritage démoniaque aux jets de Saut du personnage.
Les ailes lui permettent aussi de ralentir ses chutes, et peut donc atterrir sans subir de dégâts qu'elle que soit la hauteur.","","https://gemmaline.com/dons/dons-ailes-vestiges-992.htm"
"Air lugubre","[Régional]","Le personnage n'est pas né de la dernière pluie et son regard suffit à faire comprendre à tous qu'il n'est pas de ceux avec qui l'on badine. Sa seule présence fait bégayer même les plus beaux parleurs.","Races de Faerun","[[Humain[Damara]]]","Le personnage bénéficie d'un bonus de +2 sur ses tests d'Intimidation et de Psychologie.","","https://gemmaline.com/dons/dons-air-lugubre-764.htm"
"Aisance sociale","[Général]","L'expertise sociale du personnage est très prononcée.","Complete Scoundrel","[[Au moins deux techniques astucieuses de type Interaction au choix]]","Le personnage apprend immédiatement jusqu'à deux techniques astucieuses de type Interaction sans coût. De plus, la limite de technique astucieuse qu'il peut connaître augmente de 1. ","La limite de techniques astucieuses qu'un personnage peut connaître est égale à la moitié de son niveau global.","https://gemmaline.com/dons/dons-aisance-sociale-1365.htm"
"Aisance sylvestre","[Régional]","Le personnage sait se battre en forêt et utilisé le terrain à son avantage","Races de Faerun","[[Elfe de lune[Cour elfique], Elfe des bois[Cour elfique], Elfe des bois[Wealdath], Elfe des étoiles[Sildëyuir], Elfe sauvage[Cour elfique], Elfe sauvage[Val brumeux], Elfe sauvage[Wealdath], Minuitlin[Foyer de la Nature], Volodni[Forêt de Léthyr]]]","Les taillis (même épais) ne gênent aucunement le déplacement du personnage et ne réduisent pas sa vitesse de déplacement. Il et cependant affecté normalement par les sorts et effets utilisant la végétation pour le ralentir.
Lorsqu'il combat sur un terrain boisé, le personnage bénéficie d'un bonus d'esquive de +1 à la CA.","","https://gemmaline.com/dons/dons-aisance-sylvestre-777.htm"
"Ajout d’énergie destructrive","[Métamagie]","Le personnage peut modifier un sort faisant appel à un type d'énergie destructive en y ajoutant une autre énergie en quantité égale.","Codex Profane","[[Substitution d’énergie destructive]]","Choisissez un type d'énergie destructive (acide, électricité, feu ou froid) associé au don Substitution d'énergie destructive de votre personnage. Celui-ci peut désormais modifier les sorts accompagnés d'un registre d'énergie destructive en y ajoutant l'énergie qu'il a sélectionnée, et ce en quantité égale. Le sort ainsi altéré fonctionne normalement, si ce n'est qu'il inflige également des dégâts du type d'énergie sélectionné. Ainsi, une boule de feu acide lancée au niveau 6 inflige 6d6 points de dégâts de feu et 6d6 points de dégâts d'acide (jetez les dés séparément pour chaque type de dégâts). La même boule de feu acide lancée au niveau 10 ou plus infligera 10d6 points de dégâts de feu et 10d6 points de dégâts d'acide. Même des énergies opposées (comme le feu et le froid) peuvent être combinées grâce à ce don.
Ce don mobilise un emplacement de sort de quatre niveaux de plus que son niveau réel. De plus, le registre du sort change de manière à inclure les deux types d'énergies  destructives exploitées.  Par exemple, la boule de feu acide mentionnée ci-dessus est une évocation [acide, feu].","","https://gemmaline.com/dons/dons-ajout-d-energie-destructrive-715.htm"
"Alchimie améliorée","[Épique]","Le personnage crée des objets et substances alchimiques bien plus puissants que la normale.","Codex AventureuxCampagnes Légendaires","[[Degré de maîtrise de 21 en Artisanat (alchimie)], [Int 21]]","Quand il crée un objet ou une substance alchimique (poisons non compris), le personnage peut rendre celui-ci beaucoup plus puissant que la normale en ajoutant 20 au DD de création, puis en multipliant son prix par 5.
Un objet créé par alchimie améliorée inflige le double des dégâts normaux (s'il inflige des dégâts), sa durée est doublée (s'il est affecté d'une durée), on ajoute 2 au DD du jet de sauvegarde correspondant (s'il est affecté d'un jet de sauvegarde), et la superficie de sa zone d'effet (s'il en a une) est doublée. Si l'objet ou la substance n'affiche aucun de ces critères, cela signifie que le don ne saurait l'affecter.
Par exemple, une flasque de feu grégeois créée par alchimie augmentée inflige 2d6 points de dégâts (ou 2 points de dégâts d'aspersion à toutes les cibles situées dans un rayon de 3 mètres) et brûle pendant 2 rounds supplémentaires après avoir touché sa cible (au lieu de 1). Le DD pour éteindre les flammes est de 17.","","https://gemmaline.com/dons/dons-alchimie-amelioree-1574.htm"
"Alignement renforcé","[Général]","En même temps que ce don, le personnage doit choisir une composante d’alignement. Il ne peut choisir une composante que si elle apparaît dans son propre alignement. Il est plus difficile de résister aux sorts du registre correspondant lancés par le personnage.","Codex Divin","[[Alignement choisi]]","Le DD des jets de sauvegarde contre les sorts appartenant au registre de l’alignement choisi (Bien, Chaos, Loi ou Mal) bénéficie d’un bonus de +1. Ce bonus ne se cumule pas avec celui d’autres dons d’Ecole renforcée ou d’Alignement renforcé.","","https://gemmaline.com/dons/dons-alignement-renforce-290.htm"
